NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3690.01; Contra Costa County; California,06013369001,369001,2897.0,0.14118053158439764,0.0904125432811447
Census Tract 3690.02; Contra Costa County; California,06013369002,369002,797.0,0.056461731493099125,0.029226875584887842
Census Tract 3700; Contra Costa County; California,06013370000,370000,599.0,0.005008347245409015,0.011307281649202814
Census Tract 3710; Contra Costa County; California,06013371000,371000,2274.0,0.03342128408091469,0.029188825933828082
Census Tract 3720; Contra Costa County; California,06013372000,372000,4856.0,0.0364497528830313,0.02917472298351336
Census Tract 3730; Contra Costa County; California,06013373000,373000,3550.0,0.1723943661971831,0.08360992140685962
Census Tract 3740; Contra Costa County; California,06013374000,374000,2635.0,0.3590132827324478,0.2588297443684197
Census Tract 3750; Contra Costa County; California,06013375000,375000,3922.0,0.133350331463539,0.08612561488586243
Census Tract 3760; Contra Costa County; California,06013376000,376000,5130.0,0.24132553606237817,0.10070536632273226
Census Tract 3770; Contra Costa County; California,06013377000,377000,4949.0,0.20468781572034755,0.08748929493851247
Census Tract 3780; Contra Costa County; California,06013378000,378000,715.0,0.02937062937062937,0.034895478716252766
Census Tract 3790; Contra Costa County; California,06013379000,379000,5874.0,0.2718760640108955,0.14948508508446928
Census Tract 3800.01; Contra Costa County; California,06013380001,380001,356.0,0.06460674157303371,0.0747636692592916
Census Tract 3800.02; Contra Costa County; California,06013380002,380002,831.0,0.07701564380264742,0.09831065628781592
Census Tract 3810; Contra Costa County; California,06013381000,381000,3384.0,0.1099290780141844,0.07722130989024188
Census Tract 3820; Contra Costa County; California,06013382000,382000,2695.0,0.04526901669758813,0.06300969892853178
Census Tract 3830; Contra Costa County; California,06013383000,383000,856.0,0.2570093457943925,0.2678342893152657
Census Tract 3840; Contra Costa County; California,06013384000,384000,417.0,0.05755395683453238,0.07406301051020643
Census Tract 3851; Contra Costa County; California,06013385100,385100,303.0,0.006600660066006601,0.015554049719517769
Census Tract 3852; Contra Costa County; California,06013385200,385200,43.0,0.0,0.3023255813953488
Census Tract 3860; Contra Costa County; California,06013386000,386000,687.0,0.17467248908296942,0.09355153597830974
Census Tract 3870; Contra Costa County; California,06013387000,387000,265.0,0.06415094339622641,0.08849823871540406
Census Tract 3880; Contra Costa County; California,06013388000,388000,371.0,0.05929919137466307,0.05723680994927356
Census Tract 3891; Contra Costa County; California,06013389100,389100,351.0,0.037037037037037035,0.0351304129752535
Census Tract 3892; Contra Costa County; California,06013389200,389200,463.0,0.06263498920086392,0.060472761864323134
Census Tract 3901; Contra Costa County; California,06013390100,390100,240.0,0.025,0.03173170404605884
Census Tract 3902; Contra Costa County; California,06013390200,390200,171.0,0.0,0.07602339181286549
Census Tract 3910; Contra Costa County; California,06013391000,391000,241.0,0.012448132780082987,0.028353834386925042
Census Tract 3920; Contra Costa County; California,06013392000,392000,98.0,0.2653061224489796,0.36828303269030743
Census Tract 3922.01; Contra Costa County; California,06013392201,392201,1121.0,0.2488849241748439,0.20394652674433708
Census Tract 3922.02; Contra Costa County; California,06013392202,392202,2826.0,0.05732484076433121,0.033056018316655396
Census Tract 3923; Contra Costa County; California,06013392300,392300,276.0,0.10507246376811594,0.10398984052847494
Census Tract 9800; Contra Costa County; California,06013980000,980000,0.0,,
Census Tract 9900; Contra Costa County; California,06013990000,990000,0.0,,
